[2026-03-17 19:07:54,952: INFO: common: yaml_path: config/config.yaml loaded successfully]
[2026-03-17 19:07:54,954: INFO: common: created directory at: artifacts]
[2026-03-17 19:07:54,954: INFO: common: created directory at: artifacts/data_transformation]
[2026-03-17 19:07:54,958: INFO: 2532530037: Reading dataset]
[2026-03-17 19:07:54,984: INFO: 2532530037: Extracting introduction from PDFs]
[2026-03-17 19:07:54,986: INFO: 2532530037: Processing 1/1214]
[2026-03-17 19:07:54,986: WARNING: 2532530037: Attempt 1 failed for https://openreview.net/pdf/a82ec160e25fa08e901cf4720d1810d3f6d00ae2.pdf: Provide exactly one of the following: id, ids, group_id, invitation_id]
[2026-03-17 19:07:57,989: WARNING: 2532530037: Attempt 2 failed for https://openreview.net/pdf/a82ec160e25fa08e901cf4720d1810d3f6d00ae2.pdf: Provide exactly one of the following: id, ids, group_id, invitation_id]
[2026-03-17 19:08:00,992: WARNING: 2532530037: Attempt 3 failed for https://openreview.net/pdf/a82ec160e25fa08e901cf4720d1810d3f6d00ae2.pdf: Provide exactly one of the following: id, ids, group_id, invitation_id]
[2026-03-17 19:08:05,000: INFO: 2532530037: Processing 2/1214]
[2026-03-17 19:08:05,002: WARNING: 2532530037: Attempt 1 failed for https://openreview.net/pdf/7de864552f0638515d915497f208b6f5185bb64b.pdf: Provide exactly one of the following: id, ids, group_id, invitation_id]
[2026-03-17 19:50:13,778: INFO: common: yaml_path: config/config.yaml loaded successfully]
[2026-03-17 19:50:13,780: INFO: common: created directory at: artifacts]
[2026-03-17 19:50:17,764: INFO: common: yaml_path: config/config.yaml loaded successfully]
[2026-03-17 19:50:17,766: INFO: common: created directory at: artifacts]
[2026-03-17 20:05:47,012: INFO: common: yaml_path: config/config.yaml loaded successfully]
[2026-03-17 20:05:47,014: INFO: common: yaml_path: config/schema.yaml loaded successfully]
[2026-03-17 20:05:47,015: INFO: common: created directory at: artifacts]
[2026-03-17 20:07:37,948: INFO: common: yaml_path: config/config.yaml loaded successfully]
[2026-03-17 20:07:37,950: INFO: common: yaml_path: config/schema.yaml loaded successfully]
[2026-03-17 20:07:37,951: INFO: common: created directory at: artifacts]
[2026-03-17 20:08:31,538: INFO: common: yaml_path: config/config.yaml loaded successfully]
[2026-03-17 20:08:31,540: INFO: common: yaml_path: config/schema.yaml loaded successfully]
[2026-03-17 20:08:31,541: INFO: common: created directory at: artifacts]
[2026-03-17 20:10:53,985: INFO: common: yaml_path: config/config.yaml loaded successfully]
[2026-03-17 20:11:50,898: INFO: common: yaml_path: config/schema.yaml loaded successfully]
[2026-03-17 20:12:00,785: INFO: common: yaml_path: config/schema.yaml loaded successfully]
[2026-03-17 20:13:24,896: INFO: common: yaml_path: config/config.yaml loaded successfully]
[2026-03-17 20:13:24,898: INFO: common: yaml_path: config/schema.yaml loaded successfully]
[2026-03-17 20:13:24,899: INFO: common: created directory at: artifacts]
[2026-03-17 20:18:24,037: INFO: common: yaml_path: config/config.yaml loaded successfully]
[2026-03-17 20:18:24,040: INFO: common: yaml_path: config/schema.yaml loaded successfully]
[2026-03-17 20:18:24,042: INFO: common: created directory at: artifacts]
[2026-03-17 20:21:11,767: INFO: common: yaml_path: config/config.yaml loaded successfully]
[2026-03-17 20:21:11,772: INFO: common: yaml_path: config/schema.yaml loaded successfully]
[2026-03-17 20:21:11,774: INFO: common: created directory at: artifacts]
[2026-03-17 20:21:11,775: INFO: common: created directory at: artifacts/data_validation]
[2026-03-17 20:22:11,150: INFO: common: yaml_path: config/config.yaml loaded successfully]
[2026-03-17 20:22:11,152: INFO: common: yaml_path: config/schema.yaml loaded successfully]
[2026-03-17 20:22:11,153: INFO: common: created directory at: artifacts]
[2026-03-17 20:22:11,153: INFO: common: created directory at: artifacts/data_validation]
[2026-03-17 20:22:44,423: INFO: common: yaml_path: config/config.yaml loaded successfully]
[2026-03-17 20:22:44,425: INFO: common: yaml_path: config/schema.yaml loaded successfully]
[2026-03-17 20:22:44,426: INFO: common: created directory at: artifacts]
[2026-03-17 20:22:44,427: INFO: common: created directory at: artifacts/data_validation]
[2026-03-17 20:24:01,559: INFO: common: yaml_path: config/config.yaml loaded successfully]
[2026-03-17 20:24:01,562: INFO: common: yaml_path: config/schema.yaml loaded successfully]
[2026-03-17 20:24:01,562: INFO: common: created directory at: artifacts]
[2026-03-17 20:24:01,563: INFO: common: created directory at: artifacts/data_validation]
[2026-03-17 20:24:15,708: INFO: common: yaml_path: config/config.yaml loaded successfully]
[2026-03-17 20:24:15,710: INFO: common: yaml_path: config/schema.yaml loaded successfully]
[2026-03-17 20:24:15,711: INFO: common: created directory at: artifacts]
[2026-03-17 20:24:15,711: INFO: common: created directory at: artifacts/data_validation]
[2026-03-17 20:24:54,079: INFO: common: yaml_path: config/config.yaml loaded successfully]
[2026-03-17 20:24:54,082: INFO: common: yaml_path: config/schema.yaml loaded successfully]
[2026-03-17 20:24:54,082: INFO: common: created directory at: artifacts]
[2026-03-17 20:24:54,083: INFO: common: created directory at: artifacts/data_validation]
[2026-03-17 20:25:02,795: INFO: common: yaml_path: config/config.yaml loaded successfully]
[2026-03-17 20:25:02,798: INFO: common: yaml_path: config/schema.yaml loaded successfully]
[2026-03-17 20:25:02,799: INFO: common: created directory at: artifacts]
[2026-03-17 20:25:02,799: INFO: common: created directory at: artifacts/data_validation]
[2026-03-17 20:26:18,245: INFO: common: yaml_path: config/config.yaml loaded successfully]
[2026-03-17 20:26:18,248: INFO: common: yaml_path: config/schema.yaml loaded successfully]
[2026-03-17 20:26:18,249: INFO: common: created directory at: artifacts]
[2026-03-17 20:26:18,249: INFO: common: created directory at: artifacts/data_validation]
[2026-03-17 20:30:42,696: INFO: common: yaml_path: config/config.yaml loaded successfully]
[2026-03-17 20:30:42,698: INFO: common: yaml_path: config/schema.yaml loaded successfully]
[2026-03-17 20:30:42,699: INFO: common: created directory at: artifacts]
[2026-03-17 20:30:42,699: INFO: common: created directory at: artifacts/data_validation]
[2026-03-17 20:31:18,864: INFO: common: yaml_path: config/config.yaml loaded successfully]
[2026-03-17 20:31:18,865: INFO: common: yaml_path: config/schema.yaml loaded successfully]
[2026-03-17 20:31:18,866: INFO: common: created directory at: artifacts]
[2026-03-17 20:31:18,866: INFO: common: created directory at: artifacts/data_validation]
[2026-03-17 20:47:03,737: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2026-03-17 20:47:03,738: INFO: common: yaml_path: config/config.yaml loaded successfully]
[2026-03-17 20:47:03,740: INFO: common: yaml_path: config/schema.yaml loaded successfully]
[2026-03-17 20:47:03,740: INFO: common: created directory at: artifacts]
[2026-03-17 20:47:03,740: INFO: common: created directory at: artifacts/data_ingestion]
[2026-03-17 20:47:03,740: INFO: data_ingestion: Data already present at: artifacts/data_ingestion/data.csv]
[2026-03-17 20:47:03,740: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2026-03-17 20:47:03,740: INFO: main: >>>>>> stage Data Validation stage started <<<<<<]
[2026-03-17 20:47:03,740: INFO: common: yaml_path: config/config.yaml loaded successfully]
[2026-03-17 20:47:03,741: INFO: common: yaml_path: config/schema.yaml loaded successfully]
[2026-03-17 20:47:03,741: INFO: common: created directory at: artifacts]
[2026-03-17 20:47:03,741: INFO: common: created directory at: artifacts/data_validation]
[2026-03-17 20:47:03,764: INFO: main: >>>>>> stage Data Validation stage completed <<<<<<]
[2026-03-17 20:48:16,156: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2026-03-17 20:48:16,157: INFO: common: yaml_path: config/config.yaml loaded successfully]
[2026-03-17 20:48:16,159: INFO: common: yaml_path: config/schema.yaml loaded successfully]
[2026-03-17 20:48:16,159: INFO: common: created directory at: artifacts]
[2026-03-17 20:48:16,159: INFO: common: created directory at: artifacts/data_ingestion]
[2026-03-17 20:48:16,159: INFO: data_ingestion: Data already present at: artifacts/data_ingestion/data.csv]
[2026-03-17 20:48:16,159: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2026-03-17 20:48:16,159: INFO: main: >>>>>> stage Data Validation stage started <<<<<<]
[2026-03-17 20:48:16,160: INFO: common: yaml_path: config/config.yaml loaded successfully]
[2026-03-17 20:48:16,160: INFO: common: yaml_path: config/schema.yaml loaded successfully]
[2026-03-17 20:48:16,160: INFO: common: created directory at: artifacts]
[2026-03-17 20:48:16,160: INFO: common: created directory at: artifacts/data_validation]
[2026-03-17 20:48:16,183: INFO: main: >>>>>> stage Data Validation stage completed <<<<<<]
[2026-03-17 20:50:16,256: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2026-03-17 20:50:16,257: INFO: common: yaml_path: config/config.yaml loaded successfully]
[2026-03-17 20:50:16,259: INFO: common: yaml_path: config/schema.yaml loaded successfully]
[2026-03-17 20:50:16,259: INFO: common: created directory at: artifacts]
[2026-03-17 20:50:16,259: INFO: common: created directory at: artifacts/data_ingestion]
[2026-03-17 20:50:16,259: INFO: data_ingestion: Data already present at: artifacts/data_ingestion/data.csv]
[2026-03-17 20:50:16,259: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2026-03-17 20:50:16,259: INFO: main: >>>>>> stage Data Validation stage started <<<<<<]
[2026-03-17 20:50:16,259: INFO: common: yaml_path: config/config.yaml loaded successfully]
[2026-03-17 20:50:16,260: INFO: common: yaml_path: config/schema.yaml loaded successfully]
[2026-03-17 20:50:16,260: INFO: common: created directory at: artifacts]
[2026-03-17 20:50:16,260: INFO: common: created directory at: artifacts/data_validation]
[2026-03-17 20:50:16,282: INFO: data_validation: Validation status: False]
[2026-03-17 20:50:16,282: INFO: main: >>>>>> stage Data Validation stage completed <<<<<<]
[2026-03-17 20:51:09,522: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2026-03-17 20:51:09,523: INFO: common: yaml_path: config/config.yaml loaded successfully]
[2026-03-17 20:51:09,525: INFO: common: yaml_path: config/schema.yaml loaded successfully]
[2026-03-17 20:51:09,525: INFO: common: created directory at: artifacts]
[2026-03-17 20:51:09,525: INFO: common: created directory at: artifacts/data_ingestion]
[2026-03-17 20:51:09,525: INFO: data_ingestion: Data already present at: artifacts/data_ingestion/data.csv]
[2026-03-17 20:51:09,525: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2026-03-17 20:51:09,525: INFO: main: >>>>>> stage Data Validation stage started <<<<<<]
[2026-03-17 20:51:09,526: INFO: common: yaml_path: config/config.yaml loaded successfully]
[2026-03-17 20:51:09,526: INFO: common: yaml_path: config/schema.yaml loaded successfully]
[2026-03-17 20:51:09,526: INFO: common: created directory at: artifacts]
[2026-03-17 20:51:09,526: INFO: common: created directory at: artifacts/data_validation]
[2026-03-17 20:51:09,547: INFO: data_validation: Validation status: True]
[2026-03-17 20:51:09,547: INFO: main: >>>>>> stage Data Validation stage completed <<<<<<]
[2026-03-20 00:03:29,967: INFO: common: yaml_path: config/config.yaml loaded successfully]
[2026-03-20 00:03:29,969: INFO: common: yaml_path: config/schema.yaml loaded successfully]
[2026-03-20 00:03:29,970: INFO: common: created directory at: artifacts]
[2026-03-20 00:03:29,971: INFO: common: created directory at: artifacts/generalizer]
[2026-03-20 00:03:42,656: INFO: common: yaml_path: config/config.yaml loaded successfully]
[2026-03-20 00:03:42,658: INFO: common: yaml_path: config/schema.yaml loaded successfully]
[2026-03-20 00:03:42,659: INFO: common: created directory at: artifacts]
[2026-03-20 00:03:42,659: INFO: common: created directory at: artifacts/generalizer]
[2026-03-20 00:04:21,796: INFO: common: yaml_path: config/config.yaml loaded successfully]
[2026-03-20 00:04:21,798: INFO: common: yaml_path: config/schema.yaml loaded successfully]
[2026-03-20 00:04:21,799: INFO: common: created directory at: artifacts]
[2026-03-20 00:04:21,800: INFO: common: created directory at: artifacts/generalizer]
[2026-03-20 00:05:11,603: INFO: common: yaml_path: config/config.yaml loaded successfully]
[2026-03-20 00:05:11,606: INFO: common: yaml_path: config/schema.yaml loaded successfully]
[2026-03-20 00:05:11,607: INFO: common: created directory at: artifacts]
[2026-03-20 00:05:11,608: INFO: common: created directory at: artifacts/generalizer]
[2026-03-20 00:06:09,662: INFO: common: yaml_path: config/config.yaml loaded successfully]
[2026-03-20 00:06:09,665: INFO: common: yaml_path: config/schema.yaml loaded successfully]
[2026-03-20 00:06:09,666: INFO: common: created directory at: artifacts]
[2026-03-20 00:06:09,667: INFO: common: created directory at: artifacts/generalizer]
[2026-03-20 00:06:47,254: INFO: common: yaml_path: config/config.yaml loaded successfully]
[2026-03-20 00:06:47,256: INFO: common: yaml_path: config/schema.yaml loaded successfully]
[2026-03-20 00:06:47,257: INFO: common: created directory at: artifacts]
[2026-03-20 00:06:47,258: INFO: common: created directory at: artifacts/generalizer]
[2026-03-20 00:06:47,998: INFO: common: yaml_path: config/config.yaml loaded successfully]
[2026-03-20 00:06:48,000: INFO: common: yaml_path: config/schema.yaml loaded successfully]
[2026-03-20 00:06:48,001: INFO: common: created directory at: artifacts]
[2026-03-20 00:06:48,002: INFO: common: created directory at: artifacts/generalizer]
[2026-03-20 00:06:57,197: INFO: common: yaml_path: config/config.yaml loaded successfully]
